id,SAMPLE_1,SAMPLE_2,SAMPLE_3
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
,13934,22265,16082
